Marca,Modelo,Ano,Cor,Placa,Quilometragem,Valor,Observações
Fiat,Uno,2020,Azul,MCJ3D22,20000,30000.00,Semi Novo
Volkswagen,Gol,2021,Branco,QWE4R56,35000,45000.00,Único Dono
Chevrolet,Onix,2022,Prata,ABC1D23,18000,68000.00,Revisado
Toyota,Corolla,2023,Preto,XYZ9K87,12000,145000.00,Automático
Honda,Civic,2022,Cinza,DEF5G67,25000,132000.00,Completo
Jeep,Renegade,2021,Verde Oliva,JKL2M34,42000,98000.00,4x4
Hyundai,HB20,2023,Vermelho,MNO6P78,15000,72000.00,Estado de Novo
Ford,Ranger,2022,Verde Oliva,PQR3S45,38000,185000.00,Diesel
Renault,Kwid,2024,Branco,STU7V89,5000,62000.00,Semi Novo
Nissan,Kicks,2023,Azul,LMN8O12,22000,118000.00,Automático
